Avg_Salary,Min_Salary,Max_Salary,city
88632.05,0.0,99873.0,
80000.0,80000.0,80000.0,"""Bay Area"""
96500.0,96500.0,96500.0,(Remote) Augusta
97800.0,97800.0,97800.0,(Remote) job based in Oakland
12.0,12.0,12.0,(York)(Pa)(USA)
85000.0,85000.0,85000.0,(mid-atlantic)
43036.0,43036.0,43036.0,(near) Harrisonburg
84000.0,84000.0,84000.0,*international postings that change
126000.0,126000.0,126000.0,-
120000.0,120000.0,120000.0,100% Remote
135000.0,135000.0,135000.0,10010
60000.0,60000.0,60000.0,1085
73000.0,73000.0,73000.0,12901
36000.0,36000.0,36000.0,15000
39018.0,39018.0,39018.0,15206
60000.0,60000.0,60000.0,27278
36000.0,36000.0,36000.0,34202
76000.0,76000.0,76000.0,57108
90000.0,90000.0,90000.0,60464
68500.0,68500.0,68500.0,64801
150000.0,150000.0,150000.0,68701
50279.0,50279.0,50279.0,74701
50000.0,50000.0,50000.0,77007
100000.0,100000.0,100000.0,97214
45000.0,45000.0,45000.0,97501
80000.0,80000.0,80000.0,AB
83000.0,83000.0,83000.0,ADE
85000.0,110000.0,60000.0,AK
73000.0,73000.0,73000.0,AL
33000.0,33000.0,33000.0,ALBUQUERQUE
65000.0,65000.0,65000.0,ALEXANDRIA
60000.0,60000.0,60000.0,APO
60000.0,60000.0,60000.0,ARIZONA
27000.0,27000.0,27000.0,ARKANSAS
98600.0,98600.0,98600.0,ATLANTA
170000.0,170000.0,170000.0,AUSTIN
98000.0,125000.0,71000.0,AZ
181000.0,181000.0,181000.0,"AZ,USA"
39100.0,17200.0,61000.0,Aachen
62474.09,123000.0,88500.0,Aberdeen
135000.0,135000.0,135000.0,Aberdeen MD USA
38126.0,38126.0,38126.0,Aberdeen Proving Ground
48666.67,27000.0,64000.0,Abilene
72000.0,72000.0,72000.0,Abingdon VA USA
72000.0,72000.0,72000.0,Abington
60000.0,60000.0,60000.0,Abington pa usa
70000.0,70000.0,70000.0,Abiquiu
167500.0,280000.0,55000.0,Abu Dhabi
115000.0,115000.0,115000.0,Acton
51500.0,42000.0,61000.0,Ada
65000.0,65000.0,65000.0,"Adams County, Illinois"
84000.0,84000.0,84000.0,Addison
73075.48,100000.0,82397.0,Adelaide
44000.0,44000.0,44000.0,Adelaide SA
110000.0,110000.0,110000.0,Adelaide SA Australia
18720.0,18720.0,18720.0,Adrian
38204.0,38204.0,38204.0,Agoura Hills
900000.0,900000.0,900000.0,Ahmedabad
48500.0,48500.0,48500.0,Aiken
65000.0,65000.0,65000.0,Ajo
69595.53,102000.0,95000.0,Akron
55000.0,55000.0,55000.0,Akron Ohio
50000.0,50000.0,50000.0,Akron ohio
70000.0,70000.0,70000.0,Al
79211.04,10600.0,97500.0,Alabama
46500.0,46500.0,46500.0,Alachua
47000.0,47000.0,47000.0,Alamance County
107500.0,106000.0,90000.0,Alameda
135000.0,135000.0,135000.0,"Alameda, CA"
99900.0,105000.0,90000.0,Alaska
121000.0,187000.0,55000.0,Alaska USA
80971.31,100000.0,95000.0,Albany
126600.0,104600.0,53000.0,Albany NY
75000.0,75000.0,75000.0,Albany NY USA
110000.0,110000.0,110000.0,Albany New York
50000.0,50000.0,50000.0,Albany ny us
120000.0,120000.0,120000.0,Albany ny usa
73000.0,73000.0,73000.0,"Albany, NY"
58000.0,58000.0,58000.0,Albany. NY USA
73000.0,73000.0,73000.0,Albemarle
75290.13,100000.0,97000.0,Alberta
93850.0,106000.0,49400.0,Alberta Canada
